Date,shape_temp_1,shape_temp_2,shape_temp_3,shape_temp_4,shape_temp_5,shape_temp_6,shape_temp_7,shape_temp_8,shape_temp_9,shape_temp_10,shape_temp_11,shape_temp_12,shape_temp_14,shape_temp_16,shape_temp_17,shape_temp_18,shape_temp_19,shape_temp_20,shape_temp_21,shape_temp_22,shape_temp_23,shape_temp_24,shape_temp_25,shape_temp_26,shape_temp_27,shape_temp_28,shape_temp_29,shape_temp_30,shape_temp_31,shape_temp_32,shape_temp_33,shape_temp_34,shape_temp_35,shape_temp_36,shape_temp_37,shape_temp_38,shape_temp_39,shape_temp_40,shape_temp_41,shape_temp_42,shape_temp_43,shape_temp_44,shape_temp_45,shape_temp_46,shape_temp_47,shape_temp_48,shape_temp_49,shape_temp_50,shape_temp_51
2026-01-01 01:40:00,18.6,18.502024,18.495022,19.696443,19.254562,15.008189,15.06019,18.183195,10.891184,13.452239,25.0,17.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,22.209304,25.0,25.0,25.0,25.0,25.0,20.512994,21.555646,22.200001,25.0,21.5,21.9,22.485002,25.0,18.530744,21.430322,19.201129,21.1,21.700001,18.6,19.959486,20.0,17.62525,26.046819
2026-01-01 01:50:00,18.615571,18.469539,18.465222,19.632455,19.13949,14.906535,14.833355,17.720621,10.708345,13.381741,25.0,17.068378,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,21.989204,25.0,25.0,25.0,25.0,25.0,20.551649,21.648233,22.05,25.0,21.5,21.884548,22.286205,25.0,18.367302,20.850777,19.068633,20.800662,21.688813,18.519481,19.942631,19.976675,17.612659,25.969355
2026-01-01 02:00:00,18.631142,18.423755,18.424434,19.5,19.035235,14.804881,14.645403,16.99855,10.627167,13.209227,25.0,17.136756,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,21.9,25.0,25.0,25.0,25.0,25.0,20.585858,21.74082,21.9,25.0,21.5,21.868562,22.054378,25.0,18.200001,20.233779,18.94417,20.614128,21.653241,18.428451,19.925776,19.952687,17.6,25.9
2026-01-01 02:10:00,18.6,18.22826,18.231288,19.299999,18.864989,14.847852,14.553624,16.526325,10.655503,12.762402,25.0,16.761996,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,21.952832,25.0,25.0,25.0,25.0,25.0,20.531628,21.499854,21.9,25.0,21.65,21.260193,22.011883,25.0,18.016008,19.332486,18.436566,21.305103,21.281546,17.828876,20.009086,19.601816,17.351466,25.647552
2026-01-01 02:20:00,18.6,18.134303,18.135623,19.160339,18.85013,14.842743,14.380666,16.54874,10.665906,12.775216,25.0,16.981526,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,21.951958,25.0,25.0,25.0,25.0,25.0,20.536577,21.122704,22.05,25.0,21.750961,21.010418,21.939293,25.0,18.021515,19.506063,18.334713,21.248115,21.424544,17.851086,20.157369,19.579801,17.325989,25.528518
2026-01-01 02:30:00,18.6,18.093363,18.093549,19.0,18.845501,14.825304,14.202905,16.614585,10.670098,12.78803,25.0,17.201055,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,21.94885,25.0,25.0,25.0,25.0,25.0,20.541526,20.693419,22.200001,25.0,21.799999,20.781813,21.848291,25.0,18.027023,19.685981,18.247206,21.113036,21.61985,17.892465,20.256898,19.573135,17.299999,25.4
2026-01-01 02:40:00,18.6,18.148284,18.146362,18.668577,19.140002,14.333733,14.1,17.0,10.569178,12.582251,25.0,17.046546,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,20.777072,25.0,25.0,25.0,25.0,25.0,20.485386,20.299999,21.6,25.0,21.799999,20.348321,21.748598,25.0,17.945122,19.69326,18.0,20.799999,21.700001,17.938363,20.217319,19.823339,17.0,25.058618
2026-01-01 02:50:00,18.6,18.199827,18.198258,18.558039,19.357442,14.617223,14.1,16.877242,10.494529,12.546246,25.0,16.906128,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,20.317243,25.0,25.0,25.0,25.0,25.0,20.440124,20.299999,21.61177,25.0,21.799999,20.311455,21.640751,25.0,18.093446,19.675196,18.0,20.719149,21.674951,18.169372,20.239355,19.712699,17.0,24.966208
2026-01-01 03:00:00,18.6,18.227878,18.22695,18.45438,19.540701,15.061546,14.1,16.589525,10.3897,12.506428,25.0,16.758282,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,20.1,25.0,25.0,25.0,25.0,25.0,20.375647,20.299999,21.636,25.0,21.799999,20.299999,21.562434,25.0,18.24177,19.657132,18.0,20.665046,21.649901,18.365138,20.261391,19.53476,17.0,24.931721
2026-01-01 03:10:00,18.6,18.161489,18.167821,18.200001,19.700001,15.35588,13.8,15.947681,10.00869,12.069196,25.0,16.57264,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,20.054167,25.0,25.0,25.0,25.0,25.0,20.156781,20.386858,21.672,25.0,21.799999,21.091489,21.53699,25.0,17.935154,20.145678,17.476932,20.6,21.700001,18.256668,20.0,19.407024,16.754966,25.040524
