Date,shape_irrad_1,shape_irrad_2,shape_irrad_3,shape_irrad_4,shape_irrad_5,shape_irrad_6,shape_irrad_7,shape_irrad_8,shape_irrad_9,shape_irrad_10,shape_irrad_11,shape_irrad_12,shape_irrad_14,shape_irrad_16,shape_irrad_17,shape_irrad_18,shape_irrad_19,shape_irrad_20,shape_irrad_21,shape_irrad_22,shape_irrad_23,shape_irrad_24,shape_irrad_25,shape_irrad_26,shape_irrad_27,shape_irrad_28,shape_irrad_29,shape_irrad_30,shape_irrad_31,shape_irrad_32,shape_irrad_33,shape_irrad_34,shape_irrad_35,shape_irrad_36,shape_irrad_37,shape_irrad_38,shape_irrad_39,shape_irrad_40,shape_irrad_41,shape_irrad_42,shape_irrad_43,shape_irrad_44,shape_irrad_45,shape_irrad_46,shape_irrad_47,shape_irrad_48,shape_irrad_49,shape_irrad_50,shape_irrad_51
2026-01-01 01:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004327,0.0,0.0008,0.000449,0.0,0.000449,0.001907,0.0009,0.001337,5.3e-05,0.0,0.0,0.01221,0.000975,0.0,2.4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 01:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004331,6.6e-05,0.0008,0.000445,0.0,0.000445,0.001772,0.000942,0.001788,2.5e-05,0.0,0.0,0.01774,0.001003,0.0,3.3e-05,0.0,0.0,0.0,0.0,0.0,0.0,4.6e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004332,0.00017,0.0008,0.000442,0.0,0.000442,0.001407,0.000984,0.002024,0.0,0.0,0.0,0.02327,0.001067,0.0,4.2e-05,0.0,0.0,0.0,0.0,0.0,0.0,9.1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 02:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004296,0.00024,0.0008,0.0004,0.0,0.0004,0.0,0.0009,0.0008,0.0,0.0,0.0,0.03433,0.0012,0.0,6.3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 02:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004374,0.000415,0.0008,0.000548,0.0,0.000548,5.2e-05,0.0009,0.000923,0.0,0.0,0.0,0.03986,0.001036,0.0,4.6e-05,0.0,0.0,0.0,0.0,0.0,0.0,6.1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 02:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004453,0.000545,0.0008,0.000696,0.0,0.000696,0.000185,0.0009,0.001046,0.0,0.0,0.0,0.04539,0.00086,0.0,2.4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.000123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 02:40:00,0.00013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004163,0.0,0.0008,0.000694,0.0,0.000694,0.000571,0.0009,0.0008,0.0,0.0,0.0,0.05645,0.000847,0.0,1.7e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 02:50:00,6.5e-05,0.0,0.0,0.0,2.9e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000447,0.0,0.004296,0.0,0.0008,0.000707,0.0,0.000707,0.000479,0.0009,0.0008,0.0,0.0,0.0,0.06198,0.000958,0.0,6e-06,0.0,0.0,0.0,0.001408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 03:00:00,0.0,0.0,0.0,0.0,0.000101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000894,0.0,0.004534,0.0,0.0008,0.00075,0.0,0.00075,0.000387,0.0009,0.0008,0.0,0.0,0.0,0.06751,0.0012,0.0,0.0,0.0,0.0,0.0,0.004308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 03:10:00,0.0,0.0,0.0,0.0,0.000312,0.0,0.0,0.0,0.0,0.0,0.0,0.000147,0.0,0.0,0.004771,0.000383,0.00105,0.001171,0.0,0.001171,0.000711,0.00152,0.000983,0.000508,0.000405,0.000502,0.07857,0.001619,0.000811,0.000746,0.0,0.0,0.0,0.008615,0.0,0.0,0.02257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 03:20:00,0.0,0.0,0.0,0.0,0.000156,0.0,0.0,0.0,0.0,0.0,0.0,7.3e-05,0.000756,0.0,0.00489,0.000575,0.001174,0.001382,0.0,0.001382,0.000872,0.00183,0.001075,0.000763,0.000607,0.000753,0.0841,0.001829,0.001216,0.001118,0.0,0.0,0.0,0.010769,0.0,0.0,0.033855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
